MIX1:064550;K606_3634;000001;4000;3986.7;K606__36341KM1;20201113104953;20201113110232;221, 224, 239, 226, 907, 904, 232, 227, 902, 204, 223, 231, 219, 801;409;
294_064100*6E;SBM Brazil 6mm E;1922.264;1920;
796_520120;LIMESTONE GRIT 12 MESH (1-2 MM);574;573;
238_905450;MEAT BONE MEAL USA 50% CP;520;515;
176_115460;CORN GLUTEN MEAL CHINA 60%;360;357;
796_520200;LIMESTONE GRIT 20 MESH (0.5-1 MM);280;278;
539_007100*T3;RBD Palm Olein T3;166.952;167.5;
820_490606;PREMIX 606;60;59.8;
796_740000;SALT;27.5;27.6;
705_560880;METHIONINE HA SUMITOMO;24.82;24.8;
796_790270;SODIUM BICARBONATE;22;22.1;
796_160180;DICALCIUM PHOSPHATE (DCP) CHINA 18%;18;18.2;
705_510700;LYSINE SULPHATE 70%;11.772;11.8;
801_320000;FUNGINAT FP-51;6;6;
845_110750;CHOLINE CHLORIDE 75%;4.8;4.8;
705_830985;L-THREONINE;1.892;1.1;
